vassdragNr,vatnLnr,"Land principally occupied by agriculture, with significant areas of natural vegetation",Broad-leaved forest,Moors and heathland,Sparsely vegetated areas,Peat bogs,Water bodies,Discontinuous urban fabric,Non-irrigated arable land,Coniferous forest,Transitional woodland-shrub,Complex cultivation patterns,Water courses,Mixed forest,Industrial or commercial units,Green urban areas,Sport and leisure facilities,Continuous urban fabric,Road and rail networks and associated land,Airports,Pastures,Bare rocks,Mineral extraction sites,Inland marshes,Glaciers and perpetual snow,Sea and ocean,Port areas,Natural grasslands,Intertidal flats,mean_ndsi,fractional_snow_cover,mean_ndvi,total_road_length,road_density,total_ditch_length,ditch_density,unbuilt,res_built,nres_built,total_population,population_density,gHM
012.CHC,17371,0,0,36.20816606598597,57.31907201101514,0.6604068215442623,5.812355101454628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6820301273598312,1,0.5556617140015884,0,0,0,0,0.999975,0,0,1.363221,0.04062855746525971,0.10107694811452272
012.CB40,521,6.759329377594156,2.0371737234113936,20.423117109690285,0,0.4998034911475159,0.34010410176282824,0,0,53.17357003863077,5.364212382933445,0,0,1.6385962557874254,0,0,9.764093519042188,0,0,0,0,0,0,0,0,0,0,0,0,0.3034806640829845,0.3272786884840923,0.7745469308367818,73200.23125604073,0.00323703140428412,16412.95368521484,7.258070856397321e-4,0.97391,0.022157,0.003943,1143.1361393294153,50.9077515784652,0.3544351035445422
012.CB81,521,0,0,0,0,0,2.8797299804307626,0,0,61.75021992950287,35.37005009006637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3233157678559507,0.2351126076929398,0.7564544486553229,3833.563842259024,0.00385359707555055,97.45614264198416,9.796542375000124e-5,0.992244,0.007196,0.001439,9.322816,9.436733643350305,0.21204897045001064
012.CA5,521,0,0,0,0,0,0.7185943224483715,0,0.1113492959240098,79.44254654072328,11.307129637344683,0,5.023090460571996,0,0,0,0,0,0,0,0,0,3.3972897429876454,0,0,0,0,0,0,0.23530786882836463,0.1565410164710725,0.6938271075872589,16170.367759916951,0.00317677203566962,1397.7894256586594,2.74604661137895e-4,0.96169,0.025912,0.012214,21.547197000000004,4.262114689489044,0.35943021724717533
012.CB2Z,521,3.222384079338076,0,16.51868137333115,0,4.925268290257008,0,0,0,66.57825538290028,6.557699759424608,0,0,0.5650724316349388,0,0,1.6326386831139283,0,0,0,0,0,0,0,0,0,0,0,0,0.3295392230635354,0.3247264102509673,0.7745369232821787,72108.46545783005,0.001641173519108,27657.301612096267,6.294743720804917e-4,0.995614,0.003568,8e-4,313.5026629058822,7.185863781963117,0.2467034735539248
012.CB7A0,521,7.058978236570451,0,0,0,0,0,0,0,92.94102176342956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1929223942703981,0.07323422790517785,0.7700003864295536,5995.724563651325,0.00456646642471984,832.4976171839672,6.340472076680504e-4,0.972239,0.02538,0.002992,0,0,0.28363532574115286
012.CC2,521,5.006358477383423,7.178042393200198,9.014712461107733,0,0,0,0.8142872222250148,0.7971972434869589,69.0033023870679,5.458740267508432,0,2.727359548020327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33822896367031724,0.2412238476214068,0.7690806221465653,44665.14706322594,0.00134508249533821,4643.412627192585,1.398354971187705e-4,0.992828,0.00613,0.001068,428.8495360000017,13.007121395586022,0.1711368909157302
012.CB210,521,0,0,0,0,0,0.44048114848477427,0,13.092187461721258,76.77699110708248,9.690340282711482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2953038797245691,0.24978480391836153,0.7813344212162998,18177.069347631696,0.00275740222019203,1068.1902175110924,1.6204097706962105e-4,0.987763,0.011284,8.28e-4,43.094394,6.582424945036933,0.31486228776894254
012.CB1,521,4.8352706357334085,0,0,0,3.3579403663579246,0.4893401061334411,0.43779476780755194,1.2059792592458032,76.00757512108613,13.66609974363574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23385556659564247,0.14107750301059938,0.7626418222886661,96362.73649861602,0.00218534133843654,11103.793790516427,2.518149698274608e-4,0.991505,0.0077210000000000004,7.41e-4,298.5825869999998,6.8182018364464545,0.2651831792177906
012.CB5A0,521,24.277844050230243,0,0,0,0,0,0,0,75.72215594976976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2512089875045342,0.185819981346258,0.7944446374237082,1829.7027046632588,0.00773629953655522,103.78078801910064,4.388031237037859e-4,0.987161,0.004613,0.006698,0,0,0.28577777768383505
012.CDCB2,589,0,0,38.92779597298662,28.07193847531671,25.876450771401643,1.706299823486225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.417514956808798,0,0,0,0,0,0,0,0.6711180974002456,0.9989149552336734,0.6462550090196213,9751.33561339372,4.609703740584303e-4,0,0,0.999885,0,9e-6,3.170099458823529,0.15108467040246645,0.12069796701325916
