vassdragNr,innsjo_nr,year,Coniferous forest,Transitional woodland-shrub,Peat bogs,Water bodies,Non-irrigated arable land,"Land principally occupied by agriculture, with significant areas of natural vegetation",Discontinuous urban fabric,Mixed forest,Sea and ocean,Broad-leaved forest,Moors and heathland,Bare rocks,Sparsely vegetated areas,Glaciers and perpetual snow,Complex cultivation patterns,Sport and leisure facilities,Water courses,Natural grasslands,Continuous urban fabric,Industrial or commercial units,Road and rail networks and associated land,Port areas,Green urban areas,Mineral extraction sites,Pastures,NA,total_pop,pop_density
001.1A5,3041,2004,87.2184161273199,0,0,0,5.574731406554901,5.911423352115976,0,1.295429114009226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,8.44557960795671
001.1A5,3036,2005,87.37126000432882,0,0,0,5.455049526139539,5.909576188542232,0,1.264114280989404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,10.219989011383474
001.1A4C,3004,2004,85.41640502772486,2.95022296959312,8.735086580316946,0.015112974808161,0,2.883172447556914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,10.44850666484993
001.1A4C,346,2003,85.54931704477386,2.9233352175416987,8.655476718777683,0.0149752381273781,0,2.856895780779387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,9.284383744003382
001.1A2B,3002,2002,75.84035143752065,0,4.083481353228702,15.316743898498508,1.7967840926707273,2.9626392180814007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,10.009001986955354
001.1A2B,3002,2010,74.76097355066577,1.079377886854899,4.083481353228702,15.316743898498508,1.7967840926707273,2.9626392180814007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,6.395996391664153
001.1A2B,3604,2007,74.81145404996327,1.0772190264579458,4.07531399471363,15.286108926061653,1.7931903503245263,2.956713652478965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,8.916937221130407
001.1A2B,3603,2003,76.13139886458346,0,4.085518767262031,15.324386041626957,1.797680580938606,2.6610157455889554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,10.478146324815889
001.1A2B,3608,2004,76.14367909525971,0,3.770249487514412,15.324300132489435,1.797670503067439,2.9641007816689933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,12.50511232336047
001.1A2B,3600,2006,75.855503726642,0,4.080920302312515,15.30713764403056,1.7956571974681608,2.9607811295467736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,5.513721497198582
001.1A2B,3595,2006,75.87500233135013,0,4.077624633978029,15.29477591062536,1.7942070611932783,2.9583900628531996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,5.50926083901444
001.1A2B,3609,2008,74.7998515554047,1.0777152213521513,4.0771911895521855,15.29315010247526,1.7940163400947733,2.958075591120924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,20.6206313034987
001.1A2B,345,2002,88.65638208039086,0,4.820321060766075,1.0318392976437465,2.0539775420617823,3.4374800191375323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,10.460672207856083
001.1A4D,3605,2004,73.55288842890168,3.763459121633097,16.80149930968617,5.882153139779059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,12.259323031030274
001.1A4D,347,2004,74.65690853500459,3.8755447284279314,19.681825102567373,1.7857216340001072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,12.623965135574233
001.1A4D,3606,2006,71.82206873869428,3.687520066405118,18.726948105339815,5.76346308956077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2.4603016365848664
